objectid,dpto,distrito,dpto_desc,dist_desc,area,bar_loc,barlo_desc,cant_viv,codigo,superf,cartodb_id,created_at,updated_at
3951,4,6,GUAIRA,GENERAL EUGENIO A. GARAY,6,290,POTRERO,189,4066290,13.45,3947,2016-03-03 20:21:16.767827-03,2016-03-03 20:21:16.767827-03
4561,7,17,ITAPUA,OBLIGADO,6,160,COLONIA MORENA'I,73,7176160,64.02,4557,2016-03-03 20:21:16.767827-03,2016-03-03 20:21:16.767827-03
4603,7,15,ITAPUA,JESUS,6,140,COLONIA GUARANI,87,7156140,20.93,4599,2016-03-03 20:21:16.767827-03,2016-03-03 20:21:16.767827-03
29,10,20,ALTO PARANA,SANTA FE DEL PARANA,6,430,ASENT. NIÑO JESUS,10,10206430,1.08,28,2016-03-03 20:21:16.767827-03,2016-03-03 20:21:16.767827-03
79,10,17,ALTO PARANA,MBARACAYU,6,260,GLEVA 5 MBARACAYU,74,10176260,43.43,78,2016-03-03 20:21:16.767827-03,2016-03-03 20:21:16.767827-03
80,10,17,ALTO PARANA,MBARACAYU,6,180,GENERAL DIAZ,194,10176180,103.71,79,2016-03-03 20:21:16.767827-03,2016-03-03 20:21:16.767827-03
137,10,13,ALTO PARANA,SANTA RITA,6,120,VILLA NUEVA,30,10136120,58.34,136,2016-03-03 20:21:16.767827-03,2016-03-03 20:21:16.767827-03
1620,5,1,CAAGUAZU,CORONEL OVIEDO,6,370,COLONIA MONTANARO,135,5016370,13.63,1617,2016-03-03 20:21:16.767827-03,2016-03-03 20:21:16.767827-03
282,10,9,ALTO PARANA,YGUAZU,6,175,ASENT. SANTO DOMINGO,25,10096175,0.13,281,2016-03-03 20:21:16.767827-03,2016-03-03 20:21:16.767827-03
388,10,6,ALTO PARANA,ITAKYRY,6,610,ASENT. ACARAY POTY,118,10066610,27.7,387,2016-03-03 20:21:16.767827-03,2016-03-03 20:21:16.767827-03
846,16,2,BOQUERON,MARISCAL ESTIGARRIBIA,6,720,VIRGEN DEL ROSARIO,98,16026720,867.62,843,2016-03-03 20:21:16.767827-03,2016-03-03 20:21:16.767827-03
1197,5,9,CAAGUAZU,SAN JOAQUIN,6,210,NOGUEIRA,96,5096210,12.62,1194,2016-03-03 20:21:16.767827-03,2016-03-03 20:21:16.767827-03
443,10,5,ALTO PARANA,HERNANDARIAS,6,270,ACARAYMI,72,10056270,12.93,442,2016-03-03 20:21:16.767827-03,2016-03-03 20:21:16.767827-03
851,16,2,BOQUERON,MARISCAL ESTIGARRIBIA,6,350,ZONA MBUTURETA,14,16026350,2.92,848,2016-03-03 20:21:16.767827-03,2016-03-03 20:21:16.767827-03
445,10,5,ALTO PARANA,HERNANDARIAS,6,470,MANDU'ARA,36,10056470,61.55,444,2016-03-03 20:21:16.767827-03,2016-03-03 20:21:16.767827-03
449,10,5,ALTO PARANA,HERNANDARIAS,6,490,COLONIA LA FORTUNA,216,10056490,62.59,447,2016-03-03 20:21:16.767827-03,2016-03-03 20:21:16.767827-03
635,13,3,AMAMBAY,CAPITAN BADO,6,590,ASENT. MARIA AUXILIADORA,31,13036590,3.52,632,2016-03-03 20:21:16.767827-03,2016-03-03 20:21:16.767827-03
584,17,5,ALTO PARAGUAY,CARMELO PERALTA,6,230,ZONA CRUCE A CARMELO PERALTA,48,17056230,1.84,581,2016-03-03 20:21:16.767827-03,2016-03-03 20:21:16.767827-03
661,13,3,AMAMBAY,CAPITAN BADO,6,430,KARAPA'I,854,13036430,177.13,658,2016-03-03 20:21:16.767827-03,2016-03-03 20:21:16.767827-03
674,13,4,AMAMBAY,ZANJA PYTA,6,150,CERRO 21,49,13046150,49.84,671,2016-03-03 20:21:16.767827-03,2016-03-03 20:21:16.767827-03
984,5,16,CAAGUAZU,MCAL. FRANCISCO SOLANO LOPEZ,6,210,SANTA ANA,171,5166210,48.1,981,2016-03-03 20:21:16.767827-03,2016-03-03 20:21:16.767827-03
985,5,16,CAAGUAZU,MCAL. FRANCISCO SOLANO LOPEZ,6,220,CAMPO FLORIDO,157,5166220,308.76,982,2016-03-03 20:21:16.767827-03,2016-03-03 20:21:16.767827-03
986,5,16,CAAGUAZU,MCAL. FRANCISCO SOLANO LOPEZ,1,1,URBANO,245,5161001,0.4,983,2016-03-03 20:21:16.767827-03,2016-03-03 20:21:16.767827-03
987,5,16,CAAGUAZU,MCAL. FRANCISCO SOLANO LOPEZ,6,170,SANTA TERESA,89,5166170,64.58,984,2016-03-03 20:21:16.767827-03,2016-03-03 20:21:16.767827-03
1029,5,14,CAAGUAZU,RAUL ARSENIO OVIEDO,6,170,TRES PALMAS,114,5146170,90.23,1026,2016-03-03 20:21:16.767827-03,2016-03-03 20:21:16.767827-03
1040,5,14,CAAGUAZU,RAUL ARSENIO OVIEDO,3,225,CASILLA 2 - SUB URBANO,264,5143225,6.18,1037,2016-03-03 20:21:16.767827-03,2016-03-03 20:21:16.767827-03
2712,11,8,CENTRAL,LIMPIO,1,42,ASENT.  LA VICTORIA MONTAÑA ALTA,77,11081042,0.05,2709,2016-03-03 20:21:16.767827-03,2016-03-03 20:21:16.767827-03
1135,5,11,CAAGUAZU,YHU,6,124,KO'E POTY,29,5116124,21.17,1132,2016-03-03 20:21:16.767827-03,2016-03-03 20:21:16.767827-03
1259,5,7,CAAGUAZU,REPATRIACION,6,590,IRRAZABAL,348,5076590,29.26,1256,2016-03-03 20:21:16.767827-03,2016-03-03 20:21:16.767827-03
1296,5,7,CAAGUAZU,REPATRIACION,6,730,1RA LINEA PLANTA URBANA,69,5076730,13.76,1293,2016-03-03 20:21:16.767827-03,2016-03-03 20:21:16.767827-03
1332,5,6,CAAGUAZU,DR. JUAN MANUEL FRUTOS,6,470,SANTA ROSA,75,5066470,13.76,1329,2016-03-03 20:21:16.767827-03,2016-03-03 20:21:16.767827-03
1354,5,6,CAAGUAZU,DR. JUAN MANUEL FRUTOS,6,250,PUENTE SECO,58,5066250,3.76,1351,2016-03-03 20:21:16.767827-03,2016-03-03 20:21:16.767827-03
1452,5,2,CAAGUAZU,CAAGUAZU,1,29,ASENT. CONSTITUCION,119,5021029,0.22,1449,2016-03-03 20:21:16.767827-03,2016-03-03 20:21:16.767827-03
1370,5,6,CAAGUAZU,DR. JUAN MANUEL FRUTOS,6,110,MARIA AUXILIADORA,84,5066110,14.75,1367,2016-03-03 20:21:16.767827-03,2016-03-03 20:21:16.767827-03
1463,5,2,CAAGUAZU,CAAGUAZU,6,290,FINANGRAY,177,5026290,21.33,1460,2016-03-03 20:21:16.767827-03,2016-03-03 20:21:16.767827-03
1385,5,5,CAAGUAZU,SANTA ROSA DEL MBUTUY,6,300,SAN AGUSTIN,298,5056300,28.14,1382,2016-03-03 20:21:16.767827-03,2016-03-03 20:21:16.767827-03
1426,5,3,CAAGUAZU,CARAYAO,6,400,COLONIA NICOLAS BO,242,5036400,41.74,1423,2016-03-03 20:21:16.767827-03,2016-03-03 20:21:16.767827-03
1513,5,2,CAAGUAZU,CAAGUAZU,6,400,TORO BLANCO,74,5026400,10.99,1510,2016-03-03 20:21:16.767827-03,2016-03-03 20:21:16.767827-03
1514,5,2,CAAGUAZU,CAAGUAZU,6,450,EMPALADO MI,137,5026450,4.08,1511,2016-03-03 20:21:16.767827-03,2016-03-03 20:21:16.767827-03
1588,5,1,CAAGUAZU,CORONEL OVIEDO,6,890,YKUA PORA,92,5016890,4.9,1585,2016-03-03 20:21:16.767827-03,2016-03-03 20:21:16.767827-03
1549,5,2,CAAGUAZU,CAAGUAZU,6,220,JOYVY,38,5026220,3.25,1546,2016-03-03 20:21:16.767827-03,2016-03-03 20:21:16.767827-03
1565,5,1,CAAGUAZU,CORONEL OVIEDO,6,760,ARROYO MOROTI,40,5016760,5.3,1562,2016-03-03 20:21:16.767827-03,2016-03-03 20:21:16.767827-03
1599,5,1,CAAGUAZU,CORONEL OVIEDO,6,690,AGUAPETY,256,5016690,230.86,1596,2016-03-03 20:21:16.767827-03,2016-03-03 20:21:16.767827-03
1701,6,11,CAAZAPA,3 DE MAYO,6,250,KUARAHY RESE,192,6116250,30.39,1698,2016-03-03 20:21:16.767827-03,2016-03-03 20:21:16.767827-03
1702,6,11,CAAZAPA,3 DE MAYO,6,260,BUENA VISTA,57,6116260,13.96,1699,2016-03-03 20:21:16.767827-03,2016-03-03 20:21:16.767827-03
1794,6,8,CAAZAPA,TAVAI,6,340,ORO VERDE,26,6086340,63.35,1791,2016-03-03 20:21:16.767827-03,2016-03-03 20:21:16.767827-03
1888,6,6,CAAZAPA,MACIEL,6,110,SANJA PYTA,128,6066110,36.3,1885,2016-03-03 20:21:16.767827-03,2016-03-03 20:21:16.767827-03
6173,2,16,SAN PEDRO,GUAJAYVI,6,410,8 DE DICIEMBRE,97,2166410,46.71,6167,2016-03-03 20:21:16.767827-03,2016-03-03 20:21:16.767827-03
6174,2,16,SAN PEDRO,GUAJAYVI,6,790,PLANCHADA EVA,15,2166790,9.94,6168,2016-03-03 20:21:16.767827-03,2016-03-03 20:21:16.767827-03
1913,6,4,CAAZAPA,MOISES BERTONI,6,180,LOMA I,44,6046180,121.92,1910,2016-03-03 20:21:16.767827-03,2016-03-03 20:21:16.767827-03
